time,source,dest,protocol,size,description,website
8.924618225,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.925186881,20.50.201.195,172.28.0.2,TCP,74,"443 → 54706 [SYN, ACK] Seq=0 Ack=1 Win=29184 Len=0 MSS=1460 TSval=2597824130 TSecr=3346429265 WS=32",github
8.925216917,172.28.0.2,20.50.201.195,TCP,66,54706 → 443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3346429268 TSecr=2597824130,github
8.925284254,35.186.194.58,172.28.0.2,QUIC,68,"Protected Payload (KP0), DCID=b495e7",github
8.925807915,172.28.0.2,20.50.201.195,TLSv1,747,Client Hello,github
8.926199209,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.926326086,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.926344451,172.28.0.2,35.186.194.58,QUIC,1239,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.927072145,20.50.201.195,172.28.0.2,TCP,66,443 → 54708 [ACK] Seq=1 Ack=682 Win=523584 Len=0 TSval=2597824132 TSecr=3346429269,github
8.927425237,172.28.0.2,20.50.201.195,TLSv1,747,Client Hello,github
8.928772873,20.50.201.195,172.28.0.2,TCP,66,443 → 54706 [ACK] Seq=1 Ack=682 Win=523584 Len=0 TSval=2597824134 TSecr=3346429271,github
8.929462085,35.186.194.58,172.28.0.2,QUIC,68,"Protected Payload (KP0), DCID=b495e7",github
8.929839933,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.929956391,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.934360907,172.28.0.2,185.199.110.154,TLSv1.3,158,Application Data,github
8.936598737,185.199.110.154,172.28.0.2,TCP,66,443 → 43450 [ACK] Seq=518572 Ack=3051 Win=524192 Len=0 TSval=3799369366 TSecr=3751134125,github
8.942597005,35.186.194.58,172.28.0.2,QUIC,68,"Protected Payload (KP0), DCID=b495e7",github
8.942653471,35.186.194.58,172.28.0.2,QUIC,68,"Protected Payload (KP0), DCID=b495e7",github
8.942849373,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.942941746,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.942963757,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
